DietMatchesRecipe,AuthorId,RecipeId
True,2492191A,33671
True,2002019979A,92647
True,408594E,161770
True,2001625557E,108231
True,2001427116E,71109
True,2001382952C,148927
True,588901B,87380
True,1038235B,9475
True,2001651474C,106171
True,1803780486A,223201
True,1253053D,91246
True,770900C,316025
True,770900C,78579
True,2000830025E,395405
True,334917D,135585
True,452294B,26345
True,184723B,247483
True,2002387639C,29884
True,1020399E,61718
True,2293840E,163034
True,2002023650C,28785
True,975069A,54752
True,975069A,252449
True,693153C,50575
True,2560001B,271830
True,2560001B,339
True,2002452043A,217463
True,2001532404E,44147
True,2001532404E,148641
True,2001605139B,26194
True,2001447886A,205660
True,2000221123C,261889
True,1413501D,269553
True,729622E,218856
True,911464D,78088
True,1802641315A,27144
True,387442C,11642
True,2001708541E,69846
True,2002342147B,264573
True,186899B,249564
True,1601235B,148303
True,1601235B,10269
True,1601235B,50767
True,1391890B,272988
True,1128887C,317761
True,1495552B,59462
True,2001688957C,227219
True,653210D,54114
True,2000550119A,385954
True,2000550119A,52381
True,2000550119A,1209
True,2000550119A,107356
True,766163D,429838
True,299636E,11180
True,189446B,80427
True,1322181A,73188
True,2000970416A,68406
True,2000401195D,380814
True,2289542A,239303
True,2019134E,63689
True,1064274D,4897
True,1637965C,373334
True,2002802520C,258133
True,2002602259D,45809
True,2001818660C,76560
True,2002256672A,391024
True,805962D,100665
True,433908D,193141
True,2002288444C,98993
True,2001808677D,104086
True,1266476B,88646
True,2002237678A,16570
True,2293638A,52680
True,2001915655B,480112
True,2001415894B,176016
True,1543417C,48635
True,236349B,129125
True,2000678936B,114575
True,402990C,184967
True,2002788192D,23370
True,843968C,145451
True,2001432321B,22782
True,2001826168D,333876
True,2001826168D,15741
True,2001826168D,9023
True,2001826168D,262990
True,2659614B,59528
True,119426E,73283
True,240012D,139724
True,1719428C,235379
True,1205448D,385946
True,325951D,380480
True,2432120C,59528
True,347107A,131914
True,347107A,40057
True,347107A,143049
True,1336864B,232030
True,2001996781C,22782
True,529021D,357655
True,469683A,52624
True,2000915800D,503921
True,2000337197D,30664
True,2058155B,149110
True,1837059D,66229
True,1837059D,307493
True,1235548E,126979
True,1235548E,50844
True,1651258C,18902
True,126663B,271940
True,261369D,93651
True,975468D,105016
True,975468D,112941
True,975468D,182629
True,2001962375A,80156
True,421238D,77623
True,2001608430D,20956
True,2001608430D,373058
True,124710D,176016
True,1802640303B,258751
True,886420B,40022
True,605696E,167885
True,2706452B,19844
True,2706452B,10922
True,2002493577B,130055
True,2002493577B,127646
True,2001839320B,124343
True,2001736804E,340610
True,2629923C,377716
True,441346E,28148
True,2002230115E,13467
True,41229584B,352318
True,2002211262E,27208
True,394378A,41377
True,394378A,24559
True,1802455392A,252241
True,27588B,191322
True,274768B,101600
True,2869716E,49014
True,506334B,106146
True,270173B,63828
True,2001343295B,34499
True,270196C,88646
True,2001967985D,94609
True,1800250516E,94781
True,1874846B,285466
True,1874846B,356112
True,2002734897A,40339
True,847796B,22782
True,2281853E,392569
True,310178E,9780
True,310178E,121490
True,2001830620A,286157
True,2223740C,69612
True,384088A,451348
True,2001681092B,27208
True,222617E,86338
True,222617E,40106
True,222617E,145799
True,1201973D,420398
True,186233B,392591
True,2487466B,73166
True,2652673A,132765
True,77356D,42499
True,2488582C,85839
True,1938485D,25587
True,2001154028B,201904
True,2001404475A,314560
True,2001267014A,131018
True,572039D,95086
True,207183C,190872
True,2944495B,270932
True,2002378808C,147574
True,155091A,3595
True,155091A,7751
True,2001396206C,46797
True,2001119576A,101568
True,2001826298A,30366
True,1071585E,59231
True,2001250170D,50767
True,44933574A,459093
True,332786D,104628
True,332786D,188010
True,726484A,141287
True,726484A,30366
True,726484A,332822
True,726484A,235962
True,2001454894E,26217
True,600112E,207081
True,2002216665C,404889
True,1570211A,14200
True,2001886997E,183582
True,202260E,1209
True,202260E,192597
True,2376080C,90529
True,2093071C,186273
True,91962B,4627
True,91962B,22782
True,2002057291A,10146
True,2001397516E,192282
True,2812270C,450527
True,2002870726D,60350
True,16272C,44995
True,166164C,9836
True,2001923768A,226118
True,597699C,160307
True,2000307114B,225416
True,716424C,202833
True,1803404080E,443024
True,1458767B,276911
True,1458767B,186412
True,1458767B,151130
True,188691D,393491
True,2001836683B,11971
True,2001442328A,57969
True,461392E,181181
True,2505244D,147411
True,885711E,62856
True,2000543121E,27208
True,2000543121E,72613
True,2001189854D,152347
True,2001189854D,916
True,2001189854D,130244
True,2001156081B,182036
True,231662E,202420
True,183355A,518280
True,2002461461E,26370
True,1710118B,67117
True,1984908B,261889
True,240262A,364208
True,1802455927B,26793
True,2001466790B,54681
True,243286B,250666
True,402252E,22312
True,1716247C,370972
True,144904E,150384
True,144904E,302814
True,954863A,110916
True,41010A,89433
True,41010A,77623
True,282423E,104703
True,2000357488A,32204
True,647271A,369445
True,2002174546C,129818
True,11733127C,49770
True,494712D,365081
True,2000151000D,63712
True,312905B,318668
True,2002200471B,154209
True,2002698657D,162386
True,330413E,280845
True,1462290B,401130
True,2001162060D,55672
True,2002110889A,193061
True,765787B,19739
True,1251006A,15191
True,1171592E,13461
True,704114D,35920
True,1541123B,301225
True,2001916287D,28992
True,2001122589E,15068
True,1228447C,70954
True,29280C,458008
True,2001338551A,252038
True,2319232D,21151
True,2002283225A,64213
True,1570857D,17124
True,1803576230D,208556
True,1011914A,33919
True,1595964D,133387
True,785006E,178370
True,922870A,145803
True,1498138C,52865
True,702021E,486261
True,2001387313C,12455
True,2002591892A,35450
True,369692E,151512
True,332296C,460750
True,854411E,98918
True,2002856373E,95570
True,2000548133D,153267
True,2000548133D,153650
True,2000548133D,136077
True,253542C,280351
True,284026D,429522
True,2000475980D,59894
True,312457D,128956
True,1063952D,146427
True,1832967E,69296
True,1832967E,30380
True,358266A,380982
True,2000804440A,137847
True,2472811A,99476
True,39731A,11581
True,2001141168C,369960
True,1595450C,191913
True,1595450C,39892
True,165629C,507949
True,441539B,475907
True,866364B,129670
True,253845E,53198
True,131020E,429784
True,10226D,232433
True,87208E,49172
True,707361D,109264
True,707361D,173691
True,707361D,171002
True,1783844D,68756
True,1783844D,293120
True,1735397D,29612
True,1811929D,287118
True,2441472B,486156
True,2001242450D,13380
True,2887894D,57682
True,1929868C,190598
True,2001976234B,294889
True,2640796D,21307
True,2000991886D,418807
True,53802B,9054
True,2537127E,126166
True,347136D,281383
True,1801294244A,129067
True,2000581393E,5136
True,167554E,32204
True,299901E,95197
True,299901E,72861
True,1800249207C,393795
True,429656C,183432
True,175827C,166903
True,1218676A,9369
True,499696D,18955
True,1426602A,82486
True,2000589467E,121338
True,1124050C,261637
True,688182E,340909
True,37184C,431071
True,543556B,206399
True,2447247A,7142
True,2447247A,212031
True,193664C,38298
True,2002014026E,275170
True,2001210911A,21882
True,1802702787B,9989
True,2371270E,104171
True,2371270E,109275
True,2371270E,39280
True,1795184A,430483
True,645433B,31847
True,164196A,175573
True,2000598126D,55716
True,1031111A,347136
True,2000743164A,12244
True,2279739B,271950
True,2001756740E,146427
True,351201B,15107
True,174744B,131018
True,2002046847B,150807
True,468204A,7058
True,1800205681E,17586
True,1087458A,161219
True,1087458A,275970
True,10487977D,169500
True,2000915303C,105432
True,1566875D,472957
True,2001373303E,427796
True,2002724809B,15411
True,2001519951E,174340
True,303234D,54225
True,2000106068D,334310
True,2000191981A,38298
True,1335333A,66033
True,242264C,7553
True,242264C,77417
True,1513629E,80594
True,1257600A,76003
True,1493428E,163805
True,1803337635C,75947
True,2002689945B,59183
True,2001291273E,9693
True,101043D,226300
True,1983761E,165844
True,365429D,329954
True,2001924397E,89204
True,439400E,500090
True,121187E,15846
True,2001612793C,392511
True,59499E,27208
True,2001175167E,128956
True,840205C,39038
True,840205C,59319
True,840205C,104115
True,2002759393B,51404
True,2001408277E,32042
True,2831470E,117988
True,1321274A,148380
True,1818136D,48635
True,1818136D,32204
True,1818136D,59635
True,1818136D,162439
True,1818136D,160852
True,1818136D,78925
True,1818136D,82486
True,2002430097E,304233
True,2416487E,121668
True,1820859B,11872
True,343165D,147956
True,2191500C,11433
True,2002882289C,76386
True,2002882289C,25706
True,2002882289C,173082
True,2002882289C,74629
True,2002882289C,66887
True,2002882289C,138703
True,2002882289C,19464
True,2002882289C,125981
True,2002882289C,34319
True,2002882289C,14988
True,2000729009D,85650
True,2000729009D,337038
True,307905E,249427
True,499799A,31693
True,460501A,95452
True,1424514D,192346
True,2001640789E,30415
True,2001640789E,12656
True,2001514226C,54225
True,1800204000D,46250
True,981722A,412187
True,2002728937E,27764
True,2000539110A,235379
True,2001614686A,153891
True,735772D,447301
True,2205357D,20890
True,2884360A,437052
True,1882399C,64097
True,829251C,71201
True,829251C,186485
True,103759B,176634
True,2001069880C,38298
True,1800556084A,47325
True,1800556084A,42071
True,2481569E,53914
True,2001029960B,322980
True,2630038C,453529
True,288619B,286704
True,1712662A,63857
True,746847C,176514
True,811451A,13872
